Year,Delineator,Total
1718,John Talman,1
1718,B. M.,1
1718,Charles Woodfield,1
1718,Giuseppe Grisoni,1
1720,George Vertue,1
1720,J. Badslade,1
1721,William Stukeley,2
1723,Samuel Buck and Nathaniel Buck,4
1724,John Kirkpatrick and Edmund Predeaux,2
1724,Edmund Prideaux,1
1724,John Talman,1
1725,George Vertue,3
1726,George Vertue,6
1727,anonymous,1
1729,John Bradshaw,6
1730,A. Gordon,1
1731,George Vertue,1
1731,John Sharp,2
1732,"Isaac Whood, Boul and I.N.",2
1733,unknown,2
1733,George Vertue,1
1734,unknown,2
1735,unknown,1
1736,unknown,1
1737,unknown,1
1737,Francis Drake,1
1737,William Bogdani,1
1738,William Stukeley,1
1738,James Vertue and James West,3
1738,George Vertue,2
1739,George Vertue,2
1740,George Vertue,1
1741,George Vertue,4
1741,Augustin Ménageot,1
1742,George Vertue,1
1743,Augustin Ménageot,1
1743,George Vertue and Pietro Santi Bartoli,1
1744,George Vertue and Cornelius Johnson,3
1746,unknown,1
1747,anonymous,1
