Year,Engraver,Total
1718,George Vertue,4
1720,George Vertue,1
1720,Gerard  Vandergucht,1
1721,George Vertue,2
1723,George Vertue,4
1724,George Vertue,4
1725,George Vertue,3
1726,George Vertue,6
1727,George Vertue,1
1729,George Vertue,6
1730,George Vertue,1
1731,George Vertue,3
1732,George Vertue,2
1733,George Vertue,3
1734,George Vertue,2
1735,George Vertue,1
1736,George Vertue,1
1737,George Vertue,3
1738,George Vertue,6
1739,George Vertue,2
1740,George Vertue,1
1741,George Vertue,5
1742,George Vertue,1
1743,George Vertue,2
1744,George Vertue,3
1746,George Vertue,1
1747,George Vertue,1
