Year,Engraver,Total
1747,George Vertue,2
1750,George Vertue,2
1751,George Vertue,1
1752,n/a,1
1752,George Vertue,3
1753,George Vertue,3
1754,George Vertue,1
1755,George Vertue,2
1756,George Vertue,1
1757,Arthur Pond,1
1758,n/a,1
1763,James Basire the elder,1
1765,James Basire the elder,4
1767,/a,1
1768,James Basire the elder,1
1769,John Pye,1
1770,James Watson,1
1780,James Basire the elder,7
1784,James Basire the elder,2
1786,James Basire the elder,5
1788,James Basire the elder,2
1789,James Basire the elder,11
n/a,n/a,1
