Year,Engraver,"group_concat(""href"")",COUNT(Concat)
1718,George Vertue,"<a href=""https://scalar.missouri.edu/vm/vol1plate1-bronze-lamp"" target=""_blank"">Plate 1.1 | Fenn Index: 1</a><br>,<a href=""https://scalar.missouri.edu/vm/vol1plate2-horn-of-ulf"" target=""_blank"">Plate 1.2 | Fenn Index: 1</a><br>,<a href=""https://scalar.missouri.edu/vm/vol1plate3-gibbons-font"" target=""_blank"">Plate 1.3 | Fenn Index: 4</a><br>,<a href=""https://scalar.missouri.edu/vm/vol1plate4-richard-ii-portrait"" target=""_blank"">Plate 1.4 | Fenn Index: 5</a><br>",4
1720,George Vertue,"<a href=""https://scalar.missouri.edu/vm/vol1plate5-three-medieval-seals"" target=""_blank"">Plate 1.5 | Fenn Index: 2</a><br>",1
1720,Gerard  Vandergucht,"<a href=""https://scalar.missouri.edu/vm/vol1plate6-walsingham-abbey"" target=""_blank"">Plate 1.6 | Fenn Index: 4</a><br>",1
1721,George Vertue,"<a href=""https://scalar.missouri.edu/vm/vol1plate7-waltham-cross"" target=""_blank"">Plate 1.7 | Fenn Index: 3</a><br>,<a href=""https://scalar.missouri.edu/vm/vol1plate8-plan-of-verulamium"" target=""_blank"">Plate 1.8 | Fenn Index: 7</a><br>",2
1723,George Vertue,"<a href=""https://scalar.missouri.edu/vm/vol1plates9-12-fountains-abbey"" target=""_blank"">Plate 1.9 | Fenn Index: 4</a><br>,<a href=""https://scalar.missouri.edu/vm/vol1plates9-12-fountains-abbey"" target=""_blank"">Plate 1.10 | Fenn Index: 4</a><br>,<a href=""https://scalar.missouri.edu/vm/vol1plates9-12-fountains-abbey"" target=""_blank"">Plate 1.11 | Fenn Index: 4</a><br>,<a href=""https://scalar.missouri.edu/vm/vol1plates9-12-fountains-abbey"" target=""_blank"">Plate 1.12 | Fenn Index: 4</a><br>",4
1724,George Vertue,"<a href=""https://scalar.missouri.edu/vm/vol1plates13-14-st-benets-abbey-gate"" target=""_blank"">Plate 1.13 | Fenn Index: 3</a><br>,<a href=""https://scalar.missouri.edu/vm/vol1plates13-14-st-benets-abbey-gate"" target=""_blank"">Plate 1.14 | Fenn Index: 3</a><br>,<a href=""https://scalar.missouri.edu/vm/vol1plate15-tomb-robart-colles"" target=""_blank"">Plate 1.15 | Fenn Index: 4</a><br>,<a href=""https://scalar.missouri.edu/vm/vol1plate16-edward-the-confessor-shrine"" target=""_blank"">Plate 1.16 | Fenn Index: 4</a><br>",4
1725,George Vertue,"<a href=""https://scalar.missouri.edu/vm/vol1plates17-19-king-street-and-whitehall-gates"" target=""_blank"">Plate 1.17 | Fenn Index: 3</a><br>,<a href=""https://scalar.missouri.edu/vm/vol1plates17-19-king-street-and-whitehall-gates"" target=""_blank"">Plate 1.18 | Fenn Index: 3</a><br>,<a href=""https://scalar.missouri.edu/vm/vol1plates17-19-king-street-and-whitehall-gates"" target=""_blank"">Plate 1.19 | Fenn Index: 3</a><br>",3
1726,George Vertue,"<a href=""https://scalar.missouri.edu/vm/vol1plates21-26-westminster-tournament-roll"" target=""_blank"">Plate 1.21 | Fenn Index: 6</a><br>,<a href=""https://scalar.missouri.edu/vm/vol1plates21-26-westminster-tournament-roll"" target=""_blank"">Plate 1.22 | Fenn Index: 6</a><br>,<a href=""https://scalar.missouri.edu/vm/vol1plates21-26-westminster-tournament-roll"" target=""_blank"">Plate 1.23 | Fenn Index: 6</a><br>,<a href=""https://scalar.missouri.edu/vm/vol1plates21-26-westminster-tournament-roll"" target=""_blank"">Plate 1.24 | Fenn Index: 6</a><br>,<a href=""https://scalar.missouri.edu/vm/vol1plates21-26-westminster-tournament-roll"" target=""_blank"">Plate 1.25 | Fenn Index: 6</a><br>,<a href=""https://scalar.missouri.edu/vm/vol1plates21-26-westminster-tournament-roll"" target=""_blank"">Plate 1.26 | Fenn Index: 6</a><br>",6
1727,George Vertue,"<a href=""https://scalar.missouri.edu/vm/vol1plate27-furness-abbey"" target=""_blank"">Plate 1.27 | Fenn Index: 4</a><br>",1
1729,George Vertue,"<a href=""https://scalar.missouri.edu/vm/vol1plates28-33-barons-letter-of-1301"" target=""_blank"">Plate 1.28 | Fenn Index: 2</a><br>,<a href=""https://scalar.missouri.edu/vm/vol1plates28-33-barons-letter-of-1301"" target=""_blank"">Plate 1.29 | Fenn Index: 2</a><br>,<a href=""https://scalar.missouri.edu/vm/vol1plates28-33-barons-letter-of-1301"" target=""_blank"">Plate 1.30 | Fenn Index: 2</a><br>,<a href=""https://scalar.missouri.edu/vm/vol1plates28-33-barons-letter-of-1301"" target=""_blank"">Plate 1.31 | Fenn Index: 2</a><br>,<a href=""https://scalar.missouri.edu/vm/vol1plates28-33-barons-letter-of-1301"" target=""_blank"">Plate 1.32 | Fenn Index: 2</a><br>,<a href=""https://scalar.missouri.edu/vm/vol1plates28-33-barons-letter-of-1301"" target=""_blank"">Plate 1.33 | Fenn Index: 2</a><br>",6
