Concat,Year,Fenn First,Fenn Second,Director,Engraver,Delineator,Name
Plate 1.1,1718,1,2,John Talman,George Vertue,John Talman,"Bronze Lamp Found at St. Leonard’s Hill, Windsor"
Plate 1.2,1718,1,4,John Talman,George Vertue,B. M.,The Horn of Ulf
Plate 1.3,1718,4,4,John Talman,George Vertue,Charles Woodfield,"Baptismal Font at St. James’s, Piccadilly"
Plate 1.4,1718,5,1,John Talman,George Vertue,Giuseppe Grisoni,Portrait of Richard II 
Plate 1.5,1720,2,3,John Talman,George Vertue,George Vertue,Three Medieval Seals
Plate 1.6,1720,4,1,John Talman,Gerard  Vandergucht,J. Badslade,Ruins of Walsingham Abbey
Plate 1.7,1721,3,4,John Talman,George Vertue,William Stukeley,Waltham Cross
Plate 1.8,1721,7,1,John Talman,George Vertue,William Stukeley,Plan of Ancient Verulamium
Plate 1.9,1723,4,1,John Talman,George Vertue,Samuel Buck and Nathaniel Buck,Ruins of Fountains Abbey
Plate 1.10,1723,4,1,John Talman,George Vertue,Samuel Buck and Nathaniel Buck,the Ruins of Fountains Abbey (2 of 4)
Plate 1.11,1723,4,1,John Talman,George Vertue,Samuel Buck and Nathaniel Buck,the Ruins of Fountains Abbey (3 of 4)
Plate 1.12,1723,4,1,John Talman,George Vertue,Samuel Buck and Nathaniel Buck,the Ruins of Fountains Abbey (4 of 4)
Plate 1.13,1724,3,3,John Talman,George Vertue,John Kirkpatrick and Edmund Predeaux,St. Benet’s Abbey Gatehouse
Plate 1.14,1724,3,3,John Talman,George Vertue,John Kirkpatrick and Edmund Predeaux,St. Benet’s Abbey Gatehouse (2 of 2)
Plate 1.15,1724,4,3,John Talman,George Vertue,Edmund Prideaux,Tomb of Robart Colles
Plate 1.16,1724,4,3,John Talman,George Vertue,John Talman,Shrine of Edward the Confessor
Plate 1.17,1725,3,3,John Talman,George Vertue,George Vertue,Whitehall and King Street Gates
Plate 1.18,1725,3,3,John Talman,George Vertue,George Vertue,Whitehall and King Street Gates (2 of 3)
Plate 1.19,1725,3,3,John Talman,George Vertue,George Vertue,Whitehall and King Street Gates (3 of 3)
Plate 1.20,1731,5,1,William Bogdani,George Vertue,George Vertue,"Medals of Henry VIII, Edward VI, Elizabeth I, and James I"
Plate 1.21,1726,6,2,William Bogdani,George Vertue,George Vertue,Westminster Tournament Roll
Plate 1.22,1726,6,2,William Bogdani,George Vertue,George Vertue,the Westminster Tournament Roll (2 of 6)
Plate 1.23,1726,6,2,William Bogdani,George Vertue,George Vertue,the Westminster Tournament Roll (3 of 6)
Plate 1.24,1726,6,2,William Bogdani,George Vertue,George Vertue,the Westminster Tournament Roll (4 of 6)
Plate 1.25,1726,6,2,William Bogdani,George Vertue,George Vertue,the Westminster Tournament Roll (5 of 6)
Plate 1.26,1726,6,2,William Bogdani,George Vertue,George Vertue,the Westminster Tournament Roll (6 of 6)
Plate 1.27,1727,4,1,William Bogdani,George Vertue,anonymous,Ruins of Furness Abbey
Plate 1.28,1729,2,3,William Bogdani,George Vertue,John Bradshaw,"English Barons’ Letter to the Pope, 1301"
Plate 1.29,1729,2,3,William Bogdani,George Vertue,John Bradshaw,"the English Barons’ Letter to the Pope, 1301 (2 of 6)"
Plate 1.30,1729,2,3,William Bogdani,George Vertue,John Bradshaw,"the English Barons’ Letter to the Pope, 1301 (3 of 6)"
Plate 1.31,1729,2,3,William Bogdani,George Vertue,John Bradshaw,"the English Barons’ Letter to the Pope, 1301 (4 of 6)"
Plate 1.32,1729,2,3,William Bogdani,George Vertue,John Bradshaw,"the English Barons’ Letter to the Pope, 1301 (5 of 6)"
Plate 1.33,1729,2,3,William Bogdani,George Vertue,John Bradshaw,"the English Barons’ Letter to the Pope, 1301 (6 of 6)"
Plate 1.34,1730,1,2,William Bogdani,George Vertue,A. Gordon,Bronze Head of Sulis Minerva Found at Bath
Plate 1.35,1732,3,1,William Bogdani,George Vertue,"Isaac Whood, Boul and I.N.",Colchester Castle
Plate 1.36,1732,3,1,William Bogdani,George Vertue,"Isaac Whood, Boul and I.N.",Colchester Castle (2 of 2)
Plate 1.37,1731,2,1,William Bogdani,George Vertue,John Sharp,Tables of English Coins
Plate 1.38,1731,2,1,William Bogdani,George Vertue,John Sharp,Tables of English Coins (2 of 2)
Plate 1.39,1733,3,1,William Bogdani,George Vertue,unknown,Tutbury Castle
Plate 1.40,1733,3,1,William Bogdani,George Vertue,George Vertue,Melbourne Castle
Plate 1.41,1733,3,1,William Bogdani,George Vertue,unknown,Lancaster Castle
Plate 1.42,1734,3,1,William Bogdani,George Vertue,unknown,Pontefract Castle
Plate 1.43,1734,2,3,William Bogdani,George Vertue,unknown,English Coins Struck in France and Flanders
Plate 1.44,1735,3,1,William Bogdani,George Vertue,unknown,Knaresborough Castle
Plate 1.45,1736,5,1,William Bogdani,George Vertue,unknown,Portrait of Thomas Tanner
Plate 1.46,1737,3,1,William Bogdani,George Vertue,unknown,Tickhill Castle
Plate 1.47,1737,1,2,William Bogdani,George Vertue,Francis Drake,Plan of the Roman Roads in Yorkshire
Plate 1.48,1737,1,2,William Bogdani,George Vertue,William Bogdani,Roman Pavement Found at Cotterstock
Plate 1.49,1738,4,2,William Bogdani,George Vertue,William Stukeley,Bishop’s Chapel at Hereford
Plate 1.50,1738,1,2,William Bogdani,George Vertue,James Vertue and James West,Three Roman Pavements Found at Wellow
Plate 1.51,1738,1,2,William Bogdani,George Vertue,James Vertue and James West,Three Roman Pavements Found at Wellow (2 of 3)
Plate 1.52,1738,1,2,William Bogdani,George Vertue,James Vertue and James West,Three Roman Pavements Found at Wellow (3 of 3)
Plate 1.53,1738,2,3,William Bogdani,George Vertue,George Vertue,"Lancaster Duchy Office Seals, Part A"
Plate 1.54,1738,2,3,William Bogdani,George Vertue,George Vertue,"Lancaster Duchy Office Seals, Part A (2 of 2)"
Plate 1.55,1739,2,2,William Bogdani,George Vertue,George Vertue,Stuart Medals
Plate 1.56,1739,2,1,William Bogdani,George Vertue,George Vertue,English Gold and Silver Coins
Plate 1.57,1740,1,2,Charles Frederick,George Vertue,George Vertue,Roman Hypocaust Found at Lincoln
Plate 1.58,1741,2,3,Charles Frederick,George Vertue,George Vertue,"Lancaster Duchy Office Seals, Part B"
Plate 1.59,1741,2,3,Charles Frederick,George Vertue,George Vertue,"Lancaster Duchy Office Seals, Part B (2 of 3)"
Plate 1.60,1741,2,3,Charles Frederick,George Vertue,George Vertue,"Lancaster Duchy Office Seals, Part B (3 of 3)"
Plate 1.61,1741,3,4,Charles Frederick,George Vertue,Augustin Ménageot,Winchester Cross
Plate 1.62,1741,2,4,Charles Frederick,George Vertue,George Vertue,"Oxford Decree Against Papal Jurisdiction, 1534"
Plate 1.63,1742,7,1,Thomas Birch,George Vertue,George Vertue,"Plan of the Tower Liberties, 1597"
Plate 1.64,1743,3,4,Thomas Birch,George Vertue,Augustin Ménageot,Chichester Cross
Plate 1.65,1743,1,2,Thomas Birch,George Vertue,George Vertue and Pietro Santi Bartoli,Roman Net-Fighters
Plate 1.66,1744,7,2,Thomas Birch,George Vertue,George Vertue and Cornelius Johnson,Portrait of Robert Cotton with Genesis Fragments
Plate 1.67,1744,7,2,Thomas Birch,George Vertue,George Vertue and Cornelius Johnson,Portrait of Robert Cotton with Genesis Fragments (2 of 3)
Plate 1.68,1744,7,2,Thomas Birch,George Vertue,George Vertue and Cornelius Johnson,Portrait of Robert Cotton with Genesis Fragments (3 of 3)
Plate 1.69,1746,5,2,Thomas Birch,George Vertue,unknown,"Standard of Weights and Measures, 1497"
Plate 1.70,1747,5,2,John Ward,George Vertue,anonymous,Court of Wards and Liveries
