Concat,Year,Fenn First,Fenn Second,Director,Engraver,Delineator,Name
Plate 2.1,1747,7,,John Ward,George Vertue,John Evelyn,"Plans for Rebuilding London, 1666"
Plate 2.2,1747,7,,John Ward,George Vertue,John Evelyn,"Plans for Rebuilding London, 1666 (2 of 2)"
Plate 2.3,1750,5,,John Ward,George Vertue,Richard van Bleeck,Portrait of George Holmes
Plate 2.4,1752,2,,John Ward,,,Ancient Deeds and Seals
Plate 2.5,1750,3,,John Ward,George Vertue,George Vertue,View of the Savoy from the Thames
Plate 2.6,n/a,2,,John Ward,,,Warrant for Beheading Charles I
Plate 2.7,1752,4,,John Ward,George Vertue,Smart Lethieullier and John Lydgate,Greenstead Church with Objects Commemorating St. Edmund
Plate 2.8,1751,3,,John Ward,George Vertue,Thomas Ricketts,Gloucester Cross
Plate 2.9,1752,1,,John Ward,George Vertue,Charles Mitley,Roman Pavements Found at Winterton and Roxby
Plate 2.10,1752,3,,John Ward,George Vertue,George Vertue,Doncaster Cross
Plate 2.11,1753,3,,John Ward,George Vertue,unknown,Sandal Castle
Plate 2.12,1753,3,,John Ward,George Vertue,George Vertue,Savoy Hospital
Plate 2.13,1753,3,,John Ward,George Vertue,unknown,Clithero Castle
Plate 2.14,1754,3,,John Ward,George Vertue,George Vertue,Plan of the Savoy
Plate 2.15,1755,4,,John Ward,George Vertue,unknown,Canterbury Cathedral and Priory with a Portrait of Eadwine 
Plate 2.16,1755,4,,John Ward,George Vertue,unknown,Canterbury Cathedral and Priory with a Portrait of Eadwine (2 of 2)
Plate 2.17,1756,1,,John Ward,George Vertue,George Vertue,Roman Bronze Lamp with Vase and Bells
Plate 2.18,1757,1,,John Ward,Arthur Pond,Arthur Pond and Richard Cosway,Two Roman Bronzes (Silenus and a Lamp)
Plate 2.19,1758,2,,John Ward,,,Medieval Seal and Mantelpiece
Plate 2.20,1763,1,,John Taylor,James Basire the elder,James Basire the elder,"Bronze Age Horns with Medieval Brooch, Arm-Rings, and Shield"
Plate 2.21,1765,1,,John Taylor,James Basire the elder,James Basire the elder,Antique Bronze Figure
Plate 2.22,1765,1,,John Taylor,James Basire the elder,James Basire the elder,Antique Bronze Figure (2 of 2)
Plate 2.23,1765,n/a,,John Taylor,James Basire the elder,Wenceslaus Hollar and unknown,Richmond Palace
Plate 2.24,1765,n/a,,John Taylor,James Basire the elder,Wenceslaus Hollar and unknown,Richmond Palce (2 of 2)
